TelTel.io-call-list-2020-11-09-2020-12-08-6008aa25a5678;;;;;;;;;
Date / Time;Duration;Duration(sec);Wait(sec);Cost EUR;Tariff EUR;User;Type;Status;Campaign ID
07.12.2020 18:56:38;00:00:00;0;92;0.000;0.000;Martino;out;Busy;0
07.12.2020 18:56:30;00:00:00;0;101;0.000;0.000;Martino;out;No answer;0
07.12.2020 18:56:27;00:00:00;0;100;0.000;0.000;Martino;out;No answer;0
07.12.2020 18:56:26;00:00:00;0;100;0.000;0.000;Martino;out;No answer;0
07.12.2020 18:56:23;00:00:00;0;96;0.000;0.000;Martino;out;Congestion;0
07.12.2020 18:56:10;00:00:14;14;87;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:56:03;00:00:00;0;76;0.000;0.000;Martino;out;Busy;0
07.12.2020 18:55:54;00:00:00;0;76;0.000;0.000;Martino;out;Congestion;0
07.12.2020 18:55:49;00:00:14;14;45;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:46;00:00:14;14;49;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:43;00:00:14;14;41;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:36;00:00:13;13;48;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:36;00:00:00;0;45;0.000;0.000;Martino;out;Congestion;0
07.12.2020 18:55:34;00:00:00;0;55;0.000;0.000;Martino;out;Busy;0
07.12.2020 18:55:32;00:00:14;14;47;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:32;00:00:14;14;47;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:30;00:00:00;0;54;0.000;0.000;Martino;out;Congestion;0
07.12.2020 18:55:29;00:00:14;14;45;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:26;00:00:00;0;32;0.000;0.000;Martino;out;Chanunavail;0
07.12.2020 18:55:25;00:00:13;13;46;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:24;00:00:14;14;48;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:23;00:00:14;14;24;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:21;00:00:13;13;43;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:19;00:00:07;7;29;0.002;0.014;Martino;out;Answer;0
07.12.2020 18:55:18;00:00:14;14;19;0.003;0.014;Martino;out;Answer;0
07.12.2020 18:55:17;00:00:03;3;20;0.001;0.014;Martino;out;Answer;0
